2019-09-25 15:42:11.1816||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 16:03:02.8744||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 16:03:50.7002||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 16:04:43.8124||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 17:10:01.2589||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 17:16:23.2980||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 17:17:33.2698||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 17:19:15.8463||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-25 17:20:24.0359||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
